,System,Score
rank 1,refB,1.0
rank 2,refA,0.5418946123224453
rank 3,chrf_bestmbr,0.5365889967252271
rank 4,JDExploreAcademy,0.5341112314771126
rank 5,AISP-SJTU,0.5319158441673316
rank 6,LanguageX,0.5311984422348419
rank 7,Online-G,0.531154185869344
rank 8,Online-B,0.5232266692488985
rank 9,bleu_bestmbr,0.5223697023044908
rank 10,Lan-Bridge,0.5196611562211793
rank 11,bleurt_bestmbr,0.5186135422330764
rank 12,HuaweiTSC,0.5181357252248809
rank 13,Online-A,0.5119621894098696
rank 14,Online-Y,0.5117012176853245
rank 15,NiuTrans,0.5085205909930757
rank 16,DLUT,0.4968168156966811
rank 17,Online-W,0.49081405239718634
rank 18,M2M100_1.2B-B4,0.47252437618817006
rank 19,QUARTZ_TuneReranking,0.4622587279451359
rank 20,comet_bestmbr,0.4618776868961339
