,System,Score
rank 1,refB,0.6713398642074935
rank 2,refA,0.22966586038800832
rank 3,JDExploreAcademy,0.21914524705196273
rank 4,AISP-SJTU,0.2171948391794032
rank 5,LanguageX,0.2159511086543128
rank 6,chrf_bestmbr,0.21385134866311356
rank 7,Online-G,0.2128458312142946
rank 8,bleu_bestmbr,0.21232203576749767
rank 9,bleurt_bestmbr,0.2116536926630475
rank 10,Lan-Bridge,0.2100206628162065
rank 11,Online-B,0.2066649385896535
rank 12,HuaweiTSC,0.20602406409527838
rank 13,Online-Y,0.19814522272324098
rank 14,Online-A,0.19624483027980613
rank 15,NiuTrans,0.19434188933101376
rank 16,comet_bestmbr,0.1902346218270808
rank 17,DLUT,0.18822068044408224
rank 18,Online-W,0.1817365641745611
rank 19,M2M100_1.2B-B4,0.16822096348758833
rank 20,QUARTZ_TuneReranking,0.16316605962269157
