,System,Score
rank 1,refB,0.21872462926864192
rank 2,comet_bestmbr,0.1565909060207505
rank 3,bleurt_bestmbr,0.15440235615804496
rank 4,chrf_bestmbr,0.15216508489939945
rank 5,refA,0.15188670426844503
rank 6,Online-G,0.1503770119512346
rank 7,Online-Y,0.14855980216853704
rank 8,bleu_bestmbr,0.14853006540306596
rank 9,LanguageX,0.14839977156730227
rank 10,JDExploreAcademy,0.14713278983494524
rank 11,AISP-SJTU,0.1470280556615129
rank 12,HuaweiTSC,0.14689996921380083
rank 13,Online-B,0.1461663521115283
rank 14,Lan-Bridge,0.14586235163236147
rank 15,DLUT,0.14522548788306944
rank 16,QUARTZ_TuneReranking,0.1445058102628636
rank 17,Online-W,0.14362965313163545
rank 18,Online-A,0.14337954694032096
rank 19,NiuTrans,0.1425269147779331
rank 20,M2M100_1.2B-B4,0.1357874902271745
