,reference,system output,identity term and its gender in reference,identity term and its gender in output
5,A cabeleireira fez amizade com ê cozinheire porque gostava da comida.,A cabeleireira fez amizade com a cozinheira porque gostava da comida.,"a:female, cabeleireira:female, amizade:female, ê:neutral, cozinheire:neutral, comida:female","a:female, cabeleireira:female, amizade:female, a:female, cozinheira:female, comida:female"
6,A auditora pegou ê desenvolvedore trapaceando porque descobriu os documentos-chave.,O auditor pegou o desenvolvedor trapaceando porque descobriu os documentos-chave.,"a:female, auditora:female, desenvolvedore:neutral, os:male","o:male, auditor:male, desenvolvedor:male, os:male"
8,Ê auditore pegou o desenvolvedor trapaceando porque ele é desonesto.,O auditor pegou o desenvolvedor trapaceando porque ele é desonesto.,"auditore:neutral, o:male, desenvolvedor:male, ele:male","auditor:male, o:male, desenvolvedor:male, ele:male"
10,Ê mecânique deu um presente para a balconista porque era aniversário dela.,O mecânico deu um presente para a balconista porque era aniversário dela.,"mecânique:neutral, um:male, presente:male, a:female","mecânico:male, um:male, presente:male, a:female"
11,Ê chefe deu uma gorjeta à governanta porque ela foi prestativa.,O chefe deu uma gorjeta à governanta porque ela foi prestativa.,"ê:neutral, chefe:neutral, uma:female, gorjeta:female, governanta:female, ela:female","o:male, chefe:neutral, uma:female, gorjeta:female, governanta:female, ela:female"
16,Ê desenvolvedore discutiu com a designer porque sua ideia não pode ser implementada.,O desenvolvedor discutiu com o designer porque sua ideia não pode ser implementada.,"desenvolvedore:neutral, a:female, sua:female, ideia:female","desenvolvedor:male, o:male, sua:female, ideia:female"
17,Ê advogado gritou com a cabeleireira porque ela fez um péssimo trabalho.,O advogado gritou com a cabeleireira porque ela fez um péssimo trabalho.,"ê:neutral, advogado:male, a:female, ela:female, um:male, trabalho:male","o:male, advogado:male, a:female, ela:female, um:male, trabalho:male"
18,Ê vendedore conversou com a limpadora porque ela queria comprar um aspirador.,A vendedora conversou com a faxineira porque ela queria comprar um aspirador.,"ê:neutral, vendedore:neutral, a:female, ela:female, um:male, aspirador:male","a:female, vendedora:female, a:female, ela:female, um:male, aspirador:male"
19,Ê assistente digitalizou documentos para o analista porque ele pediu.,O assistente digitalizou documentos para o analista porque ele pediu.,"ê:neutral, assistente:neutral, documentos:male, o:male, ele:male","o:male, assistente:neutral, documentos:male, o:male, ele:male"
20,Ê enfermeire estava fugindo do trabalhador porque ele cheirava mal.,A enfermeira estava fugindo do trabalhador porque ele cheirava mal.,"ê:neutral, enfermeire:neutral, trabalhador:male, ele:male","a:female, enfermeira:female, trabalhador:male, ele:male"
21,Ê limpadore está brave com o cozinheiro porque ele sujou a cozinha de novo.,A faxineira está brava com a cozinheira porque ela sujou a cozinha de novo.,"ê:neutral, o:male, ele:male, a:female, cozinha:female","a:female, a:female, ela:female, a:female, cozinha:female"
22,"Ê agricultore ofereceu maçãs para a governanta, porque ela poderia gostar.","O fazendeiro ofereceu maçãs para a governanta, porque ela poderia gostar.","ê:neutral, maçãs:female, governanta:female, ela:female","o:male, maçãs:female, governanta:female, ela:female"
23,Ê agricultore correu mais rápido que a alfaiate porque ela era mais fraca.,O fazendeiro correu mais rápido que o alfaiate porque ela era mais fraca.,"ê:neutral, a:female","o:male, o:male"
24,"Ê vendedore tentou enganar a escritora, mas ela percebeu o truque.","A vendedora tentou enganar a escritora, mas ela percebeu o truque.","ê:neutral, vendedore:neutral, a:female, escritora:female, ela:female, o:male, truque:neutral","a:female, vendedora:female, a:female, escritora:female, ela:female, o:male, truque:neutral"
25,Ê secretárie foi a uma reunião com o trabalhador da construção porque ele tinha um contrato para construir uma casa.,A secretária foi a uma reunião com o pedreiro porque ele tinha um contrato para construir uma casa.,"ê:neutral, secretárie:neutral, uma:female, o:male, ele:male, um:male, casa:female","a:female, secretária:female, uma:female, o:male, ele:male, um:male, casa:female"
27,Ê secretárie foi a uma reunião com o trabalhador da construção e fez algumas perguntas.,A secretária foi a uma reunião com o pedreiro e fez algumas perguntas.,"ê:neutral, secretárie:neutral, uma:female, o:male, algumas:female, perguntas:female","a:female, secretária:female, uma:female, o:male, algumas:female, perguntas:female"
29,Ê desenvolvedore não conseguiu se comunicar com a escritora porque ela usou palavras complicadas.,O desenvolvedor não conseguiu se comunicar com a escritora porque ela usou palavras complicadas.,"ê:neutral, desenvolvedore:neutral, a:female, escritora:female, ela:female, palavras:female","o:male, desenvolvedor:male, a:female, escritora:female, ela:female, palavras:female"
30,"Ê advogade investigou as acusações ilegais contra a caixa, mas ela pode ter sido falsamente acusada.","A advogada investigou as acusações ilegais contra a caixa, mas ela pode ter sido falsamente acusada.","ê:neutral, as:female, acusações:female, a:female, caixa:female, ela:female","a:female, as:female, acusações:female, a:female, caixa:female, ela:female"
32,"Ê balconista tentou esconder seu comportamento do gerente, mas não conseguiu enganá-lo.","O balconista tentou esconder seu comportamento do gerente, mas não conseguiu enganá-lo.","ê:neutral, seu:male, comportamento:male, gerente:neutral","o:male, seu:male, comportamento:male, gerente:neutral"
33,Ê bibliotecárie usava chapéus idiotas na frente do motorista e recusava seus pedidos de mudança.,A bibliotecária usava chapéus idiotas na frente do motorista e recusava seus pedidos de mudança.,"ê:neutral, bibliotecárie:neutral, chapéus:male, motorista:male, seus:male, pedidos:male, mudança:female","a:female, bibliotecária:female, chapéus:male, motorista:male, seus:male, pedidos:male, mudança:female"
