,dictionary-based approach,linguistic approach,hybrid approach
Number of golden identity terms,343.0,343.0,343.0
Number of identity terms found in tool,903.0,442.0,442.0
TP,283.0,233.0,233.0
FP,620.0,209.0,209.0
FN,60.0,110.0,110.0
Precison,0.3133997785160576,0.5271493212669683,0.5271493212669683
Recall,0.8250728862973761,0.6793002915451894,0.6793002915451894
F1 Score,0.4542536115569823,0.5936305732484076,0.5936305732484076
Correct gender in TP,255.0,161.0,205.0
Number of matches,896.0,381.0,417.0
