,System,Score
rank 1,refA,0.044748419178084774
rank 2,refB,0.012486739437918929
rank 3,bleurt_bestmbr,0.007938316648582864
rank 4,OpenNMT,0.007063267508704119
rank 5,QUARTZ_TuneReranking,0.0058042017309555115
rank 6,comet_bestmbr,0.005463358748325748
rank 7,Online-W,0.0025380871611735095
rank 8,Online-A,0.002191283222378287
rank 9,JDExploreAcademy,0.0012056016442428025
rank 10,Online-Y,-0.0002534242193723557
rank 11,chrf_bestmbr,-0.0002791045831118349
rank 12,Online-G,-0.0003163818892569781
rank 13,Lan-Bridge,-0.0006921915155291201
rank 14,bleu_bestmbr,-0.0007778059757097397
rank 15,Online-B,-0.0009073014668663028
rank 16,PROMT,-0.0012069191818299446
rank 17,M2M100_1.2B-B4,-0.013640003853450298
