,System,Score
rank 1,refB,0.9520337039070401
rank 2,refA,0.5685286388680851
rank 3,Online-B,0.5614794646458575
rank 4,chrf_bestmbr,0.5608223539932576
rank 5,Lan-Bridge,0.5573727652838834
rank 6,bleu_bestmbr,0.5565015584484015
rank 7,Online-W,0.5552419750844667
rank 8,JDExploreAcademy,0.5546318553215154
rank 9,Online-A,0.5521799880655932
rank 10,bleurt_bestmbr,0.5490592654746724
rank 11,OpenNMT,0.5479181831375103
rank 12,Online-Y,0.5469352957351238
rank 13,Online-G,0.5444032640483084
rank 14,comet_bestmbr,0.5442642968539173
rank 15,PROMT,0.529091033053928
rank 16,QUARTZ_TuneReranking,0.5286797979121377
rank 17,M2M100_1.2B-B4,0.48278134340741813
