,System,Score
rank 1,refB,0.8233078737915723
rank 2,refA,0.6760648345089786
rank 3,bleurt_bestmbr,0.6650039960580562
rank 4,Online-W,0.6610116316152461
rank 5,comet_bestmbr,0.6603407810807523
rank 6,chrf_bestmbr,0.6591738139978491
rank 7,OpenNMT,0.6590145786018495
rank 8,Online-B,0.6581415743615783
rank 9,JDExploreAcademy,0.6566596032708297
rank 10,QUARTZ_TuneReranking,0.6558409408655692
rank 11,Online-A,0.6552952018777777
rank 12,Lan-Bridge,0.6548374216354934
rank 13,Online-Y,0.654362370105248
rank 14,bleu_bestmbr,0.6529947808857113
rank 15,Online-G,0.6486129574434077
rank 16,PROMT,0.6396137943406998
rank 17,M2M100_1.2B-B4,0.6086536690520696
