,System,Score
rank 1,refB,4.278664790786762
rank 2,refA,2.140423123569324
rank 3,chrf_bestmbr,2.1123888247422054
rank 4,Online-B,2.1043622792741927
rank 5,bleu_bestmbr,2.098372075495601
rank 6,Lan-Bridge,2.094734156553325
rank 7,JDExploreAcademy,2.061484970276169
rank 8,Online-W,2.057707174091704
rank 9,Online-A,2.0388993304160743
rank 10,bleurt_bestmbr,2.0168014030001666
rank 11,OpenNMT,2.002020042228366
rank 12,Online-G,1.9984113745358973
rank 13,comet_bestmbr,1.9913475684405118
rank 14,Online-Y,1.9868434601998042
rank 15,PROMT,1.8843445345074374
rank 16,QUARTZ_TuneReranking,1.820027507885598
rank 17,M2M100_1.2B-B4,1.5792404223766745
