,System,Score
rank 1,refB,0.30950057620210125
rank 2,refA,0.0802724449955754
rank 3,bleurt_bestmbr,0.056665419591655275
rank 4,comet_bestmbr,0.05095757222282138
rank 5,OpenNMT,0.03397705716023014
rank 6,QUARTZ_TuneReranking,0.03234772050316548
rank 7,Online-W,0.03056526653243763
rank 8,JDExploreAcademy,0.013498191876858301
rank 9,chrf_bestmbr,0.009664818951730547
rank 10,Online-B,0.008492279732407404
rank 11,Online-Y,0.0071663424557996125
rank 12,Online-A,0.005865605631096726
rank 13,Lan-Bridge,0.0012627475346463912
rank 14,bleu_bestmbr,-0.001877333475956311
rank 15,Online-G,-0.011795281265816304
rank 16,PROMT,-0.022696954288330518
rank 17,M2M100_1.2B-B4,-0.09563251359174774
