,System,Score
rank 1,refB,0.27049352252831566
rank 2,refA,0.18642373799797102
rank 3,bleurt_bestmbr,0.1787036359772755
rank 4,comet_bestmbr,0.17791693605071315
rank 5,Online-W,0.1752792706705963
rank 6,OpenNMT,0.17497099437759936
rank 7,QUARTZ_TuneReranking,0.17163435132763302
rank 8,chrf_bestmbr,0.17110242887245602
rank 9,JDExploreAcademy,0.1707114353175502
rank 10,Online-B,0.17045315272272357
rank 11,Lan-Bridge,0.16992655263550077
rank 12,Online-A,0.1697732722152066
rank 13,Online-Y,0.16886368153994782
rank 14,bleu_bestmbr,0.16857316265192068
rank 15,Online-G,0.1656838437885126
rank 16,PROMT,0.16336612108531487
rank 17,M2M100_1.2B-B4,0.1467922350098844
