,System,Score
rank 1,refA,1.0
rank 2,chrf_bestmbr,0.6617753591476488
rank 3,Lan-Bridge,0.6539539521822475
rank 4,Online-B,0.6533993121866579
rank 5,bleu_bestmbr,0.6476097395010996
rank 6,Online-Y,0.6414758566503396
rank 7,Online-W,0.6401364982499602
rank 8,Online-G,0.624135192123435
rank 9,Online-A,0.6240508886080517
rank 10,comet_bestmbr,0.6233775183229956
rank 11,JDExploreAcademy,0.6221571932256854
rank 12,bleurt_bestmbr,0.6079352000895185
rank 13,refB,0.5945929018947524
rank 14,PROMT,0.5900249385810896
rank 15,QUARTZ_TuneReranking,0.5840819324480967
rank 16,OpenNMT,0.5693715622270796
rank 17,M2M100_1.2B-B4,0.563270681192386
