,System,Score
rank 1,refA,1.7712094747595077
rank 2,comet_bestmbr,1.2447783247764967
rank 3,bleurt_bestmbr,1.2408278071554326
rank 4,chrf_bestmbr,1.2118118135624951
rank 5,refB,1.210446009215535
rank 6,Online-W,1.2084839420489355
rank 7,Online-B,1.203414121624298
rank 8,QUARTZ_TuneReranking,1.2011377265494285
rank 9,Lan-Bridge,1.197427298100048
rank 10,Online-Y,1.1952769990856065
rank 11,bleu_bestmbr,1.1943269686751776
rank 12,JDExploreAcademy,1.1891987622081097
rank 13,Online-A,1.1849736566655793
rank 14,Online-G,1.178167547888683
rank 15,PROMT,1.1664806744376643
rank 16,OpenNMT,1.1529926873667455
rank 17,M2M100_1.2B-B4,1.132704825905745
