,System,Score
rank 1,refA,2.4332817155506015
rank 2,chrf_bestmbr,1.4120325902236772
rank 3,Online-B,1.4063298340518096
rank 4,Lan-Bridge,1.4053753809557936
rank 5,bleu_bestmbr,1.3979575470890382
rank 6,Online-Y,1.3886895752168829
rank 7,Online-W,1.381229698430462
rank 8,Online-A,1.371770709125558
rank 9,Online-G,1.3711292774165826
rank 10,comet_bestmbr,1.3708326089359542
rank 11,JDExploreAcademy,1.3656289589767328
rank 12,PROMT,1.33304019605673
rank 13,bleurt_bestmbr,1.3214617918061764
rank 14,refB,1.3188000878390125
rank 15,QUARTZ_TuneReranking,1.3037293677042159
rank 16,OpenNMT,1.3034974773877084
rank 17,M2M100_1.2B-B4,1.2309366695325452
