,System,Score
rank 1,refA,0.6012767672588438
rank 2,chrf_bestmbr,0.3051948443819928
rank 3,Online-B,0.30411413320240105
rank 4,Lan-Bridge,0.30384750561488144
rank 5,bleu_bestmbr,0.3018851524903109
rank 6,Online-Y,0.2992268826384252
rank 7,Online-A,0.29801606818530724
rank 8,Online-W,0.2978967812685108
rank 9,Online-G,0.29588981429973327
rank 10,comet_bestmbr,0.2949563718710801
rank 11,JDExploreAcademy,0.29487415864845545
rank 12,PROMT,0.2882431184381375
rank 13,bleurt_bestmbr,0.28676034083277707
rank 14,refB,0.28591566345537417
rank 15,QUARTZ_TuneReranking,0.28323554991100985
rank 16,OpenNMT,0.2827545148729731
rank 17,M2M100_1.2B-B4,0.2681125629049824
