,System,Score
rank 1,refB,0.9330295215559136
rank 2,chrf_bestmbr,0.554535957425455
rank 3,Lan-Bridge,0.5522245698461419
rank 4,Online-B,0.5517212405163284
rank 5,bleu_bestmbr,0.5514756413950084
rank 6,Online-Y,0.5478356567951808
rank 7,Online-G,0.5471813355087979
rank 8,Online-A,0.5465345668172799
rank 9,Online-W,0.5432467681844008
rank 10,JDExploreAcademy,0.5418709932445321
rank 11,comet_bestmbr,0.53612254077046
rank 12,PROMT,0.5331942098611558
rank 13,bleurt_bestmbr,0.5302379238170382
rank 14,refA,0.5270010242740886
rank 15,OpenNMT,0.5251937471066391
rank 16,QUARTZ_TuneReranking,0.5249005785920661
rank 17,M2M100_1.2B-B4,0.5086196232696512
