,System,Score
rank 1,refB,1.0
rank 2,chrf_bestmbr,0.6615790231024968
rank 3,bleu_bestmbr,0.6530905627313999
rank 4,Lan-Bridge,0.6527061856747072
rank 5,Online-B,0.6522478831930762
rank 6,Online-Y,0.6502035664625346
rank 7,Online-G,0.6484771362292573
rank 8,Online-A,0.645371224849438
rank 9,Online-W,0.6387569924428174
rank 10,JDExploreAcademy,0.6378030460819883
rank 11,comet_bestmbr,0.6235188111176159
rank 12,bleurt_bestmbr,0.618064084384918
rank 13,PROMT,0.6040005832708458
rank 14,refA,0.600139979919735
rank 15,QUARTZ_TuneReranking,0.5948463879385084
rank 16,OpenNMT,0.5879437468840547
rank 17,M2M100_1.2B-B4,0.5644582635733079
