,System,Score
rank 1,refB,0.7979337747928678
rank 2,chrf_bestmbr,0.6670456350312879
rank 3,comet_bestmbr,0.6653964483777776
rank 4,bleurt_bestmbr,0.662807915939578
rank 5,Online-B,0.6614132785344228
rank 6,Online-W,0.6613389035697649
rank 7,Online-Y,0.6611285082830446
rank 8,Lan-Bridge,0.6609939258581393
rank 9,bleu_bestmbr,0.6597671576766435
rank 10,Online-G,0.6577605893597323
rank 11,JDExploreAcademy,0.6571134502796923
rank 12,Online-A,0.6569177800208653
rank 13,refA,0.6546357937044863
rank 14,QUARTZ_TuneReranking,0.6525281893689313
rank 15,PROMT,0.6492285787663133
rank 16,OpenNMT,0.6459616972734574
rank 17,M2M100_1.2B-B4,0.6342956015925423
