,System,Score
rank 1,refB,2.0835632926175442
rank 2,chrf_bestmbr,1.072028446709097
rank 3,Online-B,1.0698383611383886
rank 4,bleu_bestmbr,1.066912781531057
rank 5,Lan-Bridge,1.066564970709013
rank 6,Online-Y,1.053491398620323
rank 7,Online-G,1.0504334500399917
rank 8,Online-A,1.0413452789518223
rank 9,JDExploreAcademy,1.0285073702310121
rank 10,Online-W,1.0267273583850922
rank 11,comet_bestmbr,1.0260997222004495
rank 12,PROMT,0.9972441588019425
rank 13,bleurt_bestmbr,0.9914410845285659
rank 14,refA,0.9804032901899977
rank 15,OpenNMT,0.9755946094899446
rank 16,QUARTZ_TuneReranking,0.9746139297692106
rank 17,M2M100_1.2B-B4,0.912072317493569
