,System,Score
rank 1,refA,3.9873149944665567
rank 2,JDExploreAcademy,1.9680951653365102
rank 3,bleu_bestmbr,1.9617763944539954
rank 4,chrf_bestmbr,1.9518934475926306
rank 5,Online-B,1.9382997656499996
rank 6,Online-W,1.9307209053258907
rank 7,Online-A,1.904216987537053
rank 8,Online-Y,1.8994982197361594
rank 9,PROMT,1.8895777815010641
rank 10,Online-G,1.8886008716368354
rank 11,OpenNMT,1.8776807505601742
rank 12,comet_bestmbr,1.8376402438027126
rank 13,QUARTZ_TuneReranking,1.8288375974496016
rank 14,Lan-Bridge,1.8255720735792065
rank 15,bleurt_bestmbr,1.823918658730236
rank 16,refB,1.7214162456527704
rank 17,M2M100_1.2B-B4,1.7210160102440883
