,System,Score
rank 1,refA,0.2615216889309634
rank 2,bleurt_bestmbr,0.2511610427894344
rank 3,Online-W,0.2510977186466013
rank 4,comet_bestmbr,0.2507784383204585
rank 5,QUARTZ_TuneReranking,0.24953610170495924
rank 6,chrf_bestmbr,0.24856840337381228
rank 7,JDExploreAcademy,0.24777764104895256
rank 8,bleu_bestmbr,0.24685870483830538
rank 9,Online-B,0.24669012592709924
rank 10,Online-G,0.24603638923382493
rank 11,Online-Y,0.2458139579251822
rank 12,Online-A,0.24562432840569878
rank 13,PROMT,0.24416713393951875
rank 14,OpenNMT,0.24354521025756945
rank 15,refB,0.2429009037409057
rank 16,M2M100_1.2B-B4,0.23891422824912004
rank 17,Lan-Bridge,0.2340846578724359
