,System,Score
rank 1,refB,0.9048220541245916
rank 2,chrf_bestmbr,0.5254983785631795
rank 3,JDExploreAcademy,0.5236554871771785
rank 4,bleu_bestmbr,0.5206589697659906
rank 5,Online-B,0.5199572407735559
rank 6,Online-A,0.5172071985148776
rank 7,Online-Y,0.5171966877349098
rank 8,Online-W,0.5137753256295118
rank 9,Online-G,0.5136440982076387
rank 10,OpenNMT,0.5123834129804439
rank 11,PROMT,0.5114921794491994
rank 12,comet_bestmbr,0.5066223088561206
rank 13,bleurt_bestmbr,0.5058629776127248
rank 14,QUARTZ_TuneReranking,0.5030937831576378
rank 15,Lan-Bridge,0.5000615463433148
rank 16,refA,0.4988392379768118
rank 17,M2M100_1.2B-B4,0.49158456518756743
