,System,Score
rank 1,refB,0.7510183643367345
rank 2,bleurt_bestmbr,0.6288573969588381
rank 3,chrf_bestmbr,0.6284260554298783
rank 4,Online-W,0.6268559090784733
rank 5,comet_bestmbr,0.6268013514414496
rank 6,JDExploreAcademy,0.6229992808428785
rank 7,Online-Y,0.6225227048269696
rank 8,Online-A,0.6222681337024151
rank 9,Online-B,0.6214324279269886
rank 10,QUARTZ_TuneReranking,0.6212844012759787
rank 11,bleu_bestmbr,0.6207999140164698
rank 12,Online-G,0.6205668151344124
rank 13,refA,0.6178065857155748
rank 14,OpenNMT,0.6170914045979382
rank 15,PROMT,0.6152202265014913
rank 16,M2M100_1.2B-B4,0.6057953372891267
rank 17,Lan-Bridge,0.6002701240682401
