,System,Score
rank 1,refB,3.9825664946990678
rank 2,chrf_bestmbr,1.9033058193564454
rank 3,JDExploreAcademy,1.8888164230365436
rank 4,bleu_bestmbr,1.8826225465103328
rank 5,Online-B,1.8735549316161688
rank 6,Online-A,1.8506863475099178
rank 7,Online-Y,1.8485631552727935
rank 8,Online-G,1.8228649086146227
rank 9,OpenNMT,1.8110581953733194
rank 10,PROMT,1.8106620191110292
rank 11,Online-W,1.8092704400166242
rank 12,comet_bestmbr,1.7746576795276652
rank 13,Lan-Bridge,1.761901134950097
rank 14,QUARTZ_TuneReranking,1.7462052239174253
rank 15,bleurt_bestmbr,1.7454481750462985
rank 16,refA,1.711338496398977
rank 17,M2M100_1.2B-B4,1.6748106170966919
