,System,Score
rank 1,refB,0.2607926703951105
rank 2,bleurt_bestmbr,0.2461871920429143
rank 3,comet_bestmbr,0.2457125301322241
rank 4,Online-W,0.24383400257688972
rank 5,chrf_bestmbr,0.24373274933788927
rank 6,QUARTZ_TuneReranking,0.24256563258624406
rank 7,Online-Y,0.24183447004186825
rank 8,Online-A,0.2411741668131441
rank 9,JDExploreAcademy,0.24099209267348626
rank 10,refA,0.24096250378644268
rank 11,Online-B,0.24076984172615395
rank 12,Online-G,0.240758726781614
rank 13,bleu_bestmbr,0.24064294358274818
rank 14,OpenNMT,0.23888995375671998
rank 15,PROMT,0.23774404197223392
rank 16,M2M100_1.2B-B4,0.23462554159114782
rank 17,Lan-Bridge,0.22944958428963375
