,System,Score
rank 1,refB,0.5732340738655187
rank 2,chrf_bestmbr,0.28241793162078827
rank 3,JDExploreAcademy,0.2796301731979926
rank 4,bleu_bestmbr,0.27892858094172607
rank 5,Online-B,0.2778151958529676
rank 6,Online-Y,0.2755169628213552
rank 7,Online-A,0.27543749570738235
rank 8,Online-G,0.272625604798037
rank 9,Online-W,0.2724712236231072
rank 10,OpenNMT,0.27092542401503517
rank 11,PROMT,0.270178864654026
rank 12,comet_bestmbr,0.26911932209487316
rank 13,bleurt_bestmbr,0.2662066015869225
rank 14,QUARTZ_TuneReranking,0.26518248037503384
rank 15,Lan-Bridge,0.26264765687266495
rank 16,refA,0.2605039982666307
rank 17,M2M100_1.2B-B4,0.2543955319087084
