,System,Score
rank 1,refA,0.7854489369215842
rank 2,Online-W,0.6284866426182261
rank 3,chrf_bestmbr,0.6193267492554038
rank 4,JDExploreAcademy,0.6180641226736511
rank 5,refB,0.617673779409722
rank 6,comet_bestmbr,0.6173057652985997
rank 7,Online-Y,0.6170399138185407
rank 8,bleurt_bestmbr,0.6149288697777906
rank 9,Online-B,0.6148798520147276
rank 10,bleu_bestmbr,0.6137931115005608
rank 11,Online-A,0.6135003277377047
rank 12,QUARTZ_TuneReranking,0.6131629295412125
rank 13,Online-G,0.6114221392952505
rank 14,Lan-Bridge,0.610933752018946
rank 15,PROMT,0.6090348311504621
rank 16,OpenNMT,0.6029811272362913
rank 17,M2M100_1.2B-B4,0.5898613581812486
