,System,Score
rank 1,refA,0.5922869331291327
rank 2,Online-W,0.27270898358659756
rank 3,chrf_bestmbr,0.26374119305439053
rank 4,JDExploreAcademy,0.2630401394956993
rank 5,bleu_bestmbr,0.2625042086094175
rank 6,Online-Y,0.26158191878079484
rank 7,Online-B,0.2615580576431929
rank 8,Lan-Bridge,0.2564643473102289
rank 9,Online-A,0.2555636863832216
rank 10,Online-G,0.25361481060038277
rank 11,PROMT,0.2510661352672433
rank 12,comet_bestmbr,0.2507457595661606
rank 13,refB,0.25025203506901084
rank 14,QUARTZ_TuneReranking,0.2481405421909361
rank 15,bleurt_bestmbr,0.24499610516809783
rank 16,OpenNMT,0.24254217816784765
rank 17,M2M100_1.2B-B4,0.22668569276452394
