,System,Score
rank 1,refA,0.021572512047354695
rank 2,comet_bestmbr,-0.01150408003640838
rank 3,Online-W,-0.012450942117614121
rank 4,bleurt_bestmbr,-0.013443334806162863
rank 5,refB,-0.013714618767013012
rank 6,QUARTZ_TuneReranking,-0.014153696896153716
rank 7,JDExploreAcademy,-0.016146310031188122
rank 8,Online-Y,-0.016256812569274477
rank 9,chrf_bestmbr,-0.016688659582617473
rank 10,Online-A,-0.017748641876374045
rank 11,Online-B,-0.01777345853736004
rank 12,Online-G,-0.017785105442373154
rank 13,bleu_bestmbr,-0.017957857650654132
rank 14,Lan-Bridge,-0.018596398944244696
rank 15,PROMT,-0.019342212745357086
rank 16,OpenNMT,-0.020351283809130722
rank 17,M2M100_1.2B-B4,-0.023479297649294326
