,System,Score
rank 1,refA,0.15100758411493564
rank 2,comet_bestmbr,-0.08052856014658505
rank 3,Online-W,-0.08715659644740326
rank 4,bleurt_bestmbr,-0.09410334461760267
rank 5,refB,-0.0960023322352801
rank 6,QUARTZ_TuneReranking,-0.0990758772986135
rank 7,JDExploreAcademy,-0.11302416935212795
rank 8,Online-Y,-0.11379768744355329
rank 9,chrf_bestmbr,-0.11682061881070022
rank 10,Online-A,-0.12424049475872273
rank 11,Online-B,-0.1244142106277093
rank 12,Online-G,-0.124495735822866
rank 13,bleu_bestmbr,-0.12570500366285253
rank 14,Lan-Bridge,-0.13017479423381717
rank 15,PROMT,-0.13539549105815124
rank 16,OpenNMT,-0.14245898493153702
rank 17,M2M100_1.2B-B4,-0.16435508257059767
