,System,Score
rank 1,refA,2.383943534491998
rank 2,Online-W,1.2435921556575065
rank 3,JDExploreAcademy,1.1963025241854173
rank 4,chrf_bestmbr,1.1957622158899193
rank 5,bleu_bestmbr,1.1916707628417047
rank 6,Online-Y,1.1913970823570312
rank 7,Online-B,1.1839045267113129
rank 8,Lan-Bridge,1.1593268124350324
rank 9,Online-A,1.1574404391442443
rank 10,Online-G,1.151868387703544
rank 11,comet_bestmbr,1.1414038011474
rank 12,PROMT,1.137065616438384
rank 13,refB,1.1293101027467771
rank 14,QUARTZ_TuneReranking,1.12036321580638
rank 15,bleurt_bestmbr,1.1037514040488257
rank 16,OpenNMT,1.0900527583838195
rank 17,M2M100_1.2B-B4,1.0176779019818634
