,System,Score
rank 1,refB,0.9237492294549676
rank 2,chrf_bestmbr,0.5039066158192173
rank 3,Online-Y,0.5036405690160753
rank 4,Online-W,0.5032630558119641
rank 5,Online-B,0.5028716328164736
rank 6,bleu_bestmbr,0.5009624577208164
rank 7,JDExploreAcademy,0.4983175796764788
rank 8,Online-A,0.49812600414715685
rank 9,Lan-Bridge,0.4950647807753986
rank 10,Online-G,0.493685380476485
rank 11,PROMT,0.49202838890524625
rank 12,comet_bestmbr,0.48474013740952543
rank 13,refA,0.4818526225178144
rank 14,bleurt_bestmbr,0.48180800444913097
rank 15,OpenNMT,0.48002256682879346
rank 16,QUARTZ_TuneReranking,0.47671902781205067
rank 17,M2M100_1.2B-B4,0.4617197184765849
