,System,Score
rank 1,refB,0.7824985461223782
rank 2,Online-W,0.6117818519630598
rank 3,comet_bestmbr,0.6065936990008347
rank 4,chrf_bestmbr,0.6050993122837905
rank 5,bleurt_bestmbr,0.6040075530663966
rank 6,Online-Y,0.6023589198824502
rank 7,refA,0.6008763661176133
rank 8,Online-B,0.6005702445257372
rank 9,bleu_bestmbr,0.5985145762011347
rank 10,Online-A,0.59764310228222
rank 11,JDExploreAcademy,0.596445577837618
rank 12,Online-G,0.5943192932699431
rank 13,Lan-Bridge,0.593446918193953
rank 14,PROMT,0.5920875051508704
rank 15,QUARTZ_TuneReranking,0.5904243800893376
rank 16,OpenNMT,0.5853764433862242
rank 17,M2M100_1.2B-B4,0.5711182341571754
