,System,Score
rank 1,refB,0.1493615892486505
rank 2,comet_bestmbr,-0.09610422684606579
rank 3,Online-W,-0.10326194654626153
rank 4,bleurt_bestmbr,-0.10486741686393997
rank 5,refA,-0.10985672095825022
rank 6,chrf_bestmbr,-0.13538972474093025
rank 7,Online-Y,-0.13655159771459863
rank 8,QUARTZ_TuneReranking,-0.13914177848287512
rank 9,Online-B,-0.1415798245404909
rank 10,Online-A,-0.14555582411347362
rank 11,bleu_bestmbr,-0.14675141328139618
rank 12,JDExploreAcademy,-0.1490757610995312
rank 13,Online-G,-0.15283396169862573
rank 14,Lan-Bridge,-0.15743611832514426
rank 15,PROMT,-0.16066251828517103
rank 16,OpenNMT,-0.16521473915990087
rank 17,M2M100_1.2B-B4,-0.18954010092598395
