,System,Score
rank 1,refB,2.382361690395166
rank 2,Online-W,1.2082917261035389
rank 3,Online-Y,1.2023763964434813
rank 4,chrf_bestmbr,1.202222654373439
rank 5,bleu_bestmbr,1.1986734154065593
rank 6,Online-B,1.1978125897204626
rank 7,JDExploreAcademy,1.1792863082430518
rank 8,Online-A,1.1781530365323405
rank 9,Lan-Bridge,1.1704399557685252
rank 10,Online-G,1.159062103227644
rank 11,comet_bestmbr,1.1492135190447996
rank 12,PROMT,1.1477796440318009
rank 13,bleurt_bestmbr,1.1150852031321745
rank 14,refA,1.1137221966523447
rank 15,OpenNMT,1.1057325946916117
rank 16,QUARTZ_TuneReranking,1.100821355027922
rank 17,M2M100_1.2B-B4,1.0343689425429718
