,System,Score
rank 1,refA,0.42666929140870313
rank 2,comet_bestmbr,0.2301824306068222
rank 3,Online-Y,0.2055718022552302
rank 4,Online-B,0.16500745342040965
rank 5,chrf_bestmbr,0.1405633461561807
rank 6,bleu_bestmbr,0.1364345407345992
rank 7,Online-W,0.1278450639566154
rank 8,Online-A,0.1177717720930351
rank 9,Online-G,0.10729205032512149
rank 10,SRPOL,0.10402095675236167
rank 11,JDExploreAcademy,0.08253953088122362
rank 12,PROMT,0.07956747292619606
rank 13,QUARTZ_TuneReranking,0.07380131372003712
rank 14,Lan-Bridge,0.06403060581602732
rank 15,eTranslation,0.03929634922587963
rank 16,HuaweiTSC,0.028384700952927944
rank 17,M2M100_1.2B-B4,-0.01789896894153692
