,System,Score
rank 1,refA,0.326178013358946
rank 2,comet_bestmbr,0.2945984000020968
rank 3,Online-Y,0.29192073353307435
rank 4,Online-B,0.2860706994313427
rank 5,chrf_bestmbr,0.2825096470428204
rank 6,bleu_bestmbr,0.2802912819980996
rank 7,Online-W,0.2770240850362412
rank 8,Online-G,0.2756391339356091
rank 9,Online-A,0.27455424438067966
rank 10,SRPOL,0.2708511191365309
rank 11,JDExploreAcademy,0.2688121461991961
rank 12,Lan-Bridge,0.26749798897062993
rank 13,PROMT,0.2653185790165593
rank 14,eTranslation,0.260326295548864
rank 15,HuaweiTSC,0.2557280629577195
rank 16,QUARTZ_TuneReranking,0.25519920600679125
rank 17,M2M100_1.2B-B4,0.24336606019316404
