,System,Score
rank 1,refA,0.8202947279659155
rank 2,comet_bestmbr,0.6837888091953631
rank 3,chrf_bestmbr,0.6798878072432684
rank 4,Online-W,0.6791352968878981
rank 5,Online-G,0.678363937372732
rank 6,Online-Y,0.6755134650716211
rank 7,Online-B,0.6745901619706162
rank 8,bleu_bestmbr,0.6732394136782105
rank 9,Lan-Bridge,0.6714561977165603
rank 10,Online-A,0.6713424104797026
rank 11,JDExploreAcademy,0.6696387733900875
rank 12,HuaweiTSC,0.6648307616559868
rank 13,eTranslation,0.6624229376302891
rank 14,QUARTZ_TuneReranking,0.6595384229110054
rank 15,PROMT,0.6569923284317799
rank 16,SRPOL,0.6553118081666748
rank 17,M2M100_1.2B-B4,0.6530208647078649
