,System,Score
rank 1,refA,4.264691479910174
rank 2,chrf_bestmbr,2.065005866762327
rank 3,bleu_bestmbr,2.059730956334402
rank 4,Online-B,2.0530110795946204
rank 5,Online-Y,2.0449211537265337
rank 6,Online-G,2.0443931360472947
rank 7,Lan-Bridge,2.042133052457478
rank 8,Online-W,2.0077038965899945
rank 9,JDExploreAcademy,2.00063039972709
rank 10,Online-A,1.9941973793959544
rank 11,comet_bestmbr,1.924548871150884
rank 12,HuaweiTSC,1.9047827160314141
rank 13,eTranslation,1.8976941358223818
rank 14,SRPOL,1.8571907971025299
rank 15,PROMT,1.8345621530462042
rank 16,M2M100_1.2B-B4,1.7944957116594853
rank 17,QUARTZ_TuneReranking,1.6511519991223462
