,System,Score
rank 1,refA,1.8790638775163233
rank 2,comet_bestmbr,1.3708422881458973
rank 3,Online-W,1.3281525882663883
rank 4,Online-G,1.3140697008735016
rank 5,chrf_bestmbr,1.3097258563877308
rank 6,Online-Y,1.3086768600162886
rank 7,Online-B,1.2991778412880415
rank 8,QUARTZ_TuneReranking,1.2969228543159024
rank 9,bleu_bestmbr,1.2951907893240948
rank 10,Lan-Bridge,1.2887164439511325
rank 11,Online-A,1.2872484678869545
rank 12,JDExploreAcademy,1.281392137620808
rank 13,HuaweiTSC,1.274277037436807
rank 14,eTranslation,1.2596937598424602
rank 15,PROMT,1.244712176970104
rank 16,M2M100_1.2B-B4,1.2400802243249571
rank 17,SRPOL,1.2290812077219255
