,System,Score
rank 1,refA,0.26843769677766066
rank 2,comet_bestmbr,0.19583461253515058
rank 3,Online-W,0.189736083980935
rank 4,Online-G,0.18772424304943483
rank 5,chrf_bestmbr,0.18710369370736255
rank 6,Online-Y,0.1869538370361359
rank 7,Online-B,0.18559683444375635
rank 8,QUARTZ_TuneReranking,0.18527469346850758
rank 9,bleu_bestmbr,0.18502725562292063
rank 10,Lan-Bridge,0.18410234922415317
rank 11,Online-A,0.18389263830591432
rank 12,JDExploreAcademy,0.18305601969127205
rank 13,HuaweiTSC,0.1820395769376626
rank 14,eTranslation,0.17995625135413804
rank 15,PROMT,0.17781602536452773
rank 16,M2M100_1.2B-B4,0.17715431776590093
rank 17,SRPOL,0.17558302962782585
