,System,Score
rank 1,refA,0.5687682183659083
rank 2,chrf_bestmbr,0.2727049779365959
rank 3,bleu_bestmbr,0.27226200728541183
rank 4,Online-B,0.2719521446984515
rank 5,Online-Y,0.27154504708482924
rank 6,Online-G,0.27145476773215066
rank 7,Lan-Bridge,0.2702988158109872
rank 8,Online-W,0.26938229969396305
rank 9,JDExploreAcademy,0.26646516006913085
rank 10,Online-A,0.26553788134099915
rank 11,comet_bestmbr,0.26414728336022536
rank 12,HuaweiTSC,0.25742987262571254
rank 13,eTranslation,0.2559758269749102
rank 14,SRPOL,0.24992923890341515
rank 15,PROMT,0.2492926555038634
rank 16,M2M100_1.2B-B4,0.24568014754721057
rank 17,QUARTZ_TuneReranking,0.23659724706084906
