,System,Score
rank 1,refA,1.0
rank 2,comet_bestmbr,0.587990506738971
rank 3,chrf_bestmbr,0.5860993514148501
rank 4,Online-W,0.5826855406644453
rank 5,Online-B,0.5809607204002222
rank 6,bleu_bestmbr,0.5796109671989641
rank 7,Online-G,0.5745896787844027
rank 8,Online-A,0.5705898410303557
rank 9,Lan-Bridge,0.5703953205620017
rank 10,JDExploreAcademy,0.5689587266284027
rank 11,SRPOL,0.5616107814924741
rank 12,HuaweiTSC,0.559421214143656
rank 13,Online-Y,0.5588208224760155
rank 14,PROMT,0.555601498372876
rank 15,eTranslation,0.55428005161636
rank 16,QUARTZ_TuneReranking,0.5495717909365688
rank 17,M2M100_1.2B-B4,0.5347890698438664
