,System,Score
rank 1,refA,0.7860471745126875
rank 2,comet_bestmbr,0.6639610025851969
rank 3,Online-W,0.6632915048840379
rank 4,QUARTZ_TuneReranking,0.6619080556203597
rank 5,chrf_bestmbr,0.6600254959221835
rank 6,Online-G,0.6569825891236415
rank 7,Online-B,0.6560545326692979
rank 8,JDExploreAcademy,0.6552415515213907
rank 9,bleu_bestmbr,0.6532479687472063
rank 10,HuaweiTSC,0.6510975635556726
rank 11,Online-A,0.650449483463596
rank 12,SRPOL,0.6469779560359116
rank 13,PROMT,0.6448897098036556
rank 14,eTranslation,0.6440146501471636
rank 15,Online-Y,0.6431800332782375
rank 16,M2M100_1.2B-B4,0.6371752318114176
rank 17,Lan-Bridge,0.6334828333388356
