,System,Score
rank 1,refA,1.967500501842029
rank 2,comet_bestmbr,1.8943107407440687
rank 3,QUARTZ_TuneReranking,1.8895262996092712
rank 4,Online-W,1.877849494623392
rank 5,chrf_bestmbr,1.8555428090673396
rank 6,Online-G,1.8516783585555983
rank 7,Online-B,1.8464359608088112
rank 8,JDExploreAcademy,1.8454454552570776
rank 9,bleu_bestmbr,1.8383218582092997
rank 10,HuaweiTSC,1.835556309911094
rank 11,Online-A,1.8267503693597649
rank 12,SRPOL,1.8180851458208607
rank 13,PROMT,1.8113453174729668
rank 14,eTranslation,1.8097990532270516
rank 15,Online-Y,1.8075390051714275
rank 16,M2M100_1.2B-B4,1.7929912342389076
rank 17,Lan-Bridge,1.7641282190749095
