,System,Score
rank 1,refA,0.9384985920540723
rank 2,Online-G,0.518758213090602
rank 3,chrf_bestmbr,0.5165586732280639
rank 4,JDExploreAcademy,0.5139902028504438
rank 5,Online-W,0.5127406409207858
rank 6,bleu_bestmbr,0.512085482263136
rank 7,Online-B,0.5111810966673123
rank 8,Lan-Bridge,0.503786097912135
rank 9,Online-Y,0.4984275955049458
rank 10,Online-A,0.4981197977651145
rank 11,comet_bestmbr,0.4942976048379323
rank 12,SRPOL,0.48649389110470054
rank 13,PROMT,0.48410445999912743
rank 14,HuaweiTSC,0.4829640616033229
rank 15,eTranslation,0.4789658673944179
rank 16,QUARTZ_TuneReranking,0.46626007465871216
rank 17,M2M100_1.2B-B4,0.45978163082967255
