,System,Score
rank 1,refA,0.807030078828583
rank 2,Online-G,0.6377111768637107
rank 3,comet_bestmbr,0.6364881081677799
rank 4,chrf_bestmbr,0.635378751802069
rank 5,Online-W,0.6323870491898026
rank 6,JDExploreAcademy,0.6300237609458889
rank 7,Online-B,0.6285175804387281
rank 8,bleu_bestmbr,0.6255693725399637
rank 9,Online-A,0.6224563045847483
rank 10,Online-Y,0.6215307756101914
rank 11,Lan-Bridge,0.6198931148575427
rank 12,SRPOL,0.6163082962811536
rank 13,QUARTZ_TuneReranking,0.613448382681481
rank 14,PROMT,0.6119046020012747
rank 15,eTranslation,0.6094003574677321
rank 16,HuaweiTSC,0.6086768747322772
rank 17,M2M100_1.2B-B4,0.5925205030296554
