,System,Score
rank 1,refA,1.8060300572085792
rank 2,comet_bestmbr,1.208682890682708
rank 3,Online-G,1.1759440901834979
rank 4,Online-W,1.1633247456665083
rank 5,chrf_bestmbr,1.1605310103646382
rank 6,JDExploreAcademy,1.1550380717597126
rank 7,Online-B,1.144822307207797
rank 8,QUARTZ_TuneReranking,1.1369901125155077
rank 9,bleu_bestmbr,1.1354212339175036
rank 10,Online-Y,1.1323397814426985
rank 11,Online-A,1.1315895180798925
rank 12,Lan-Bridge,1.1212264019117204
rank 13,SRPOL,1.1203772955284363
rank 14,PROMT,1.1024978556128224
rank 15,eTranslation,1.0999648089410907
rank 16,HuaweiTSC,1.092720431650124
rank 17,M2M100_1.2B-B4,1.0497373184792194
