,System,Score
rank 1,refA,2.462614273336318
rank 2,Online-G,1.2699916210784397
rank 3,chrf_bestmbr,1.2693975670545727
rank 4,bleu_bestmbr,1.259438889787214
rank 5,Online-W,1.2562097005853161
rank 6,Online-B,1.2554015033582298
rank 7,JDExploreAcademy,1.254016104530377
rank 8,Lan-Bridge,1.2253199620356447
rank 9,Online-Y,1.209913048880786
rank 10,comet_bestmbr,1.2013739086371666
rank 11,Online-A,1.1957074846796303
rank 12,SRPOL,1.144341818415396
rank 13,HuaweiTSC,1.12850493179297
rank 14,PROMT,1.1280784945225275
rank 15,eTranslation,1.1130757410596708
rank 16,QUARTZ_TuneReranking,1.0691613385965637
rank 17,M2M100_1.2B-B4,1.0375328999532076
