,System,Score
rank 1,refA,0.2932188935087881
rank 2,comet_bestmbr,0.25768953332020217
rank 3,Online-G,0.25370842081216577
rank 4,chrf_bestmbr,0.25278115637606907
rank 5,Online-W,0.252334620496817
rank 6,JDExploreAcademy,0.250315350087526
rank 7,Online-B,0.2502687398530689
rank 8,bleu_bestmbr,0.24880763190231645
rank 9,Online-A,0.2479835358588905
rank 10,Online-Y,0.24797938589231341
rank 11,QUARTZ_TuneReranking,0.24643179748966196
rank 12,Lan-Bridge,0.2462387762831786
rank 13,SRPOL,0.24527727936303134
rank 14,PROMT,0.24279489427211498
rank 15,eTranslation,0.24225808189020662
rank 16,HuaweiTSC,0.24132027757231692
rank 17,M2M100_1.2B-B4,0.234662383812716
