,System,Score
rank 1,refA,0.7138529289644204
rank 2,Online-G,0.29371179322051816
rank 3,chrf_bestmbr,0.29336478823218204
rank 4,bleu_bestmbr,0.2926835902511411
rank 5,JDExploreAcademy,0.2907266629414195
rank 6,Online-B,0.290194046778983
rank 7,Online-W,0.2892362606474527
rank 8,Lan-Bridge,0.28318732885199766
rank 9,Online-Y,0.2762535146748179
rank 10,Online-A,0.2721654451618058
rank 11,comet_bestmbr,0.2656208748385168
rank 12,SRPOL,0.2573861540582796
rank 13,HuaweiTSC,0.25523200332903745
rank 14,PROMT,0.2542308135788184
rank 15,eTranslation,0.24915322339080262
rank 16,QUARTZ_TuneReranking,0.23094459832309466
rank 17,M2M100_1.2B-B4,0.2294749182454458
