,System,Score
rank 1,refA,1.0
rank 2,refB,0.613101248372206
rank 3,HuaweiTSC,0.5081811810181155
rank 4,chrf_bestmbr,0.5069725399369873
rank 5,Online-G,0.4993978019587894
rank 6,Online-W,0.49828178833363024
rank 7,LanguageX,0.49772949979344555
rank 8,AISP-SJTU,0.4951526350559235
rank 9,JDExploreAcademy,0.4876310528813314
rank 10,bleu_bestmbr,0.48078143574841675
rank 11,Lan-Bridge,0.48017422178624
rank 12,comet_bestmbr,0.4783833893012382
rank 13,bleurt_bestmbr,0.47340607821324027
rank 14,Online-B,0.4728312154609408
rank 15,Online-Y,0.46938682192962977
rank 16,NiuTrans,0.4681260001779972
rank 17,Online-A,0.4643861070757317
rank 18,DLUT,0.45554915749793096
rank 19,M2M100_1.2B-B4,0.3976926872871443
rank 20,QUARTZ_TuneReranking,0.39253116242967695
