,System,Score
rank 1,refA,0.8251135947067059
rank 2,QUARTZ_TuneReranking,0.7615891874603524
rank 3,refB,0.6955668788238313
rank 4,HuaweiTSC,0.6496795567762065
rank 5,comet_bestmbr,0.6305564708008737
rank 6,Online-W,0.6277343761175482
rank 7,Online-G,0.6261624489377716
rank 8,AISP-SJTU,0.6255823518274984
rank 9,LanguageX,0.6199728248464045
rank 10,chrf_bestmbr,0.617770920914492
rank 11,bleurt_bestmbr,0.6149715809281836
rank 12,Lan-Bridge,0.613737602180775
rank 13,Online-A,0.6124384418418538
rank 14,JDExploreAcademy,0.6099238249017765
rank 15,Online-Y,0.6070485876955914
rank 16,NiuTrans,0.6014297005045711
rank 17,Online-B,0.6007924526773609
rank 18,DLUT,0.5956979984437095
rank 19,bleu_bestmbr,0.5889175278134259
rank 20,M2M100_1.2B-B4,0.5726340077980479
