,System,Score
rank 1,QUARTZ_TuneReranking,0.31164227242425663
rank 2,refA,0.30368777745364917
rank 3,refB,0.2794407210241886
rank 4,HuaweiTSC,0.2656188826400014
rank 5,comet_bestmbr,0.256986766914895
rank 6,Online-W,0.2549554405669003
rank 7,Online-G,0.25395820141866343
rank 8,AISP-SJTU,0.25247305779887474
rank 9,LanguageX,0.2505923632228421
rank 10,bleurt_bestmbr,0.24946991263598492
rank 11,Lan-Bridge,0.24863278328743463
rank 12,chrf_bestmbr,0.24814943865374128
rank 13,Online-A,0.2479710773269746
rank 14,JDExploreAcademy,0.2461563634870292
rank 15,Online-Y,0.2452822741300818
rank 16,NiuTrans,0.2425604088182687
rank 17,Online-B,0.24204259202374154
rank 18,DLUT,0.2398480269113557
rank 19,bleu_bestmbr,0.2353561194117296
rank 20,M2M100_1.2B-B4,0.2320927933884354
