,System,Score
rank 1,refB,0.8179397133469858
rank 2,QUARTZ_TuneReranking,0.7516394554492944
rank 3,refA,0.6932929657687361
rank 4,HuaweiTSC,0.6432034225144838
rank 5,Online-G,0.6299924919218621
rank 6,comet_bestmbr,0.6284070772426905
rank 7,Online-W,0.6259056098433661
rank 8,AISP-SJTU,0.6232475968725923
rank 9,LanguageX,0.6213943132250195
rank 10,Lan-Bridge,0.616907733317394
rank 11,chrf_bestmbr,0.6167557050733088
rank 12,bleurt_bestmbr,0.6153771562283683
rank 13,Online-A,0.6136458224383475
rank 14,Online-Y,0.6113784302437875
rank 15,JDExploreAcademy,0.6105219885819597
rank 16,Online-B,0.6028909046322488
rank 17,NiuTrans,0.6009028676329718
rank 18,DLUT,0.5998232657966996
rank 19,bleu_bestmbr,0.5918841981688845
rank 20,M2M100_1.2B-B4,0.5850380660949545
