,System,Score
rank 1,refB,0.3024295159918606
rank 2,QUARTZ_TuneReranking,0.3011531581017587
rank 3,refA,0.2751433288122094
rank 4,HuaweiTSC,0.2555570939139654
rank 5,comet_bestmbr,0.24736515576700496
rank 6,Online-G,0.2470059893074133
rank 7,Online-W,0.24541358277243513
rank 8,LanguageX,0.24214148683408174
rank 9,AISP-SJTU,0.2418731824329948
rank 10,Lan-Bridge,0.2411625571607118
rank 11,bleurt_bestmbr,0.23972395875436853
rank 12,chrf_bestmbr,0.23800503036948176
rank 13,Online-A,0.23761360624684016
rank 14,Online-Y,0.2363355155075805
rank 15,JDExploreAcademy,0.235907051385146
rank 16,Online-B,0.23082286188227594
rank 17,NiuTrans,0.2308056850372595
rank 18,DLUT,0.2297274286130488
rank 19,bleu_bestmbr,0.22506651410161121
rank 20,M2M100_1.2B-B4,0.22334708918344898
