,System,Score
rank 1,refA,0.9049672009007287
rank 2,refB,0.5955011532556346
rank 3,chrf_bestmbr,0.4681423068874082
rank 4,bleurt_bestmbr,0.4638842976789185
rank 5,bleu_bestmbr,0.46265365404057573
rank 6,Online-G,0.46168634229133193
rank 7,Online-B,0.45724313523455484
rank 8,LanguageX,0.4570062021938952
rank 9,JDExploreAcademy,0.45309839201781926
rank 10,Lan-Bridge,0.45276833457668797
rank 11,Online-Y,0.44948533372051563
rank 12,comet_bestmbr,0.44821685185096677
rank 13,AISP-SJTU,0.44794766597004704
rank 14,HuaweiTSC,0.44709159540086
rank 15,Online-A,0.4372614708913836
rank 16,DLUT,0.428393929887345
rank 17,NiuTrans,0.427606211404662
rank 18,Online-W,0.42637412162232546
rank 19,QUARTZ_TuneReranking,0.41375838426275535
rank 20,M2M100_1.2B-B4,0.3960288548696755
