,System,Score
rank 1,refA,0.7512597762146722
rank 2,refB,0.6496041346528565
rank 3,bleurt_bestmbr,0.6231495235120763
rank 4,chrf_bestmbr,0.6221449630582899
rank 5,comet_bestmbr,0.6183044086611303
rank 6,Online-G,0.6161008203913978
rank 7,bleu_bestmbr,0.6091933637806544
rank 8,Online-B,0.6077039567698316
rank 9,QUARTZ_TuneReranking,0.6057104456192094
rank 10,Lan-Bridge,0.6043565660976454
rank 11,LanguageX,0.6036775567372702
rank 12,Online-Y,0.6031572743618898
rank 13,JDExploreAcademy,0.6009179823219035
rank 14,HuaweiTSC,0.5987692876925672
rank 15,AISP-SJTU,0.5979337751413897
rank 16,Online-A,0.5893142560708012
rank 17,DLUT,0.5873971579884315
rank 18,NiuTrans,0.5800834946927871
rank 19,Online-W,0.5776305429668022
rank 20,M2M100_1.2B-B4,0.5581292207723443
