,System,Score
rank 1,refA,0.04302286599456406
rank 2,refB,-0.15664886264928257
rank 3,comet_bestmbr,-0.15712258903949022
rank 4,bleurt_bestmbr,-0.18197347843122214
rank 5,QUARTZ_TuneReranking,-0.18493217951550653
rank 6,chrf_bestmbr,-0.19225904867353344
rank 7,Online-G,-0.19936858191821538
rank 8,bleu_bestmbr,-0.21421582000554534
rank 9,Online-B,-0.2180499725926759
rank 10,Online-Y,-0.22508150009095085
rank 11,Lan-Bridge,-0.22597025459496078
rank 12,LanguageX,-0.23000148973834295
rank 13,HuaweiTSC,-0.2361906794554099
rank 14,JDExploreAcademy,-0.23626679084306218
rank 15,AISP-SJTU,-0.2391761637498388
rank 16,DLUT,-0.2570736320047378
rank 17,Online-A,-0.26400432234774235
rank 18,NiuTrans,-0.2788896667131942
rank 19,Online-W,-0.2919234126160888
rank 20,M2M100_1.2B-B4,-0.31343930433882017
