,System,Score
rank 1,refA,2.2801670201495567
rank 2,refB,1.4656401011072637
rank 3,chrf_bestmbr,1.0200706694467994
rank 4,bleu_bestmbr,1.0162619674758346
rank 5,bleurt_bestmbr,1.01548484171425
rank 6,Online-G,0.9950427223151423
rank 7,LanguageX,0.9823081515954419
rank 8,Online-B,0.9795205520342084
rank 9,Lan-Bridge,0.9770309575606332
rank 10,comet_bestmbr,0.9750414474600775
rank 11,JDExploreAcademy,0.9720410866571689
rank 12,Online-Y,0.9533731863090744
rank 13,AISP-SJTU,0.9512468618560599
rank 14,HuaweiTSC,0.9422788998829282
rank 15,Online-A,0.8946946476151687
rank 16,DLUT,0.8658180653780125
rank 17,NiuTrans,0.8531800907930865
rank 18,Online-W,0.8382645527237769
rank 19,M2M100_1.2B-B4,0.7304560692313937
rank 20,QUARTZ_TuneReranking,0.685589095012183
