,System,Score
rank 1,refA,0.527339947578521
rank 2,refB,0.28771792705557775
rank 3,chrf_bestmbr,0.2031124039218943
rank 4,bleurt_bestmbr,0.202836936953147
rank 5,bleu_bestmbr,0.201982854934325
rank 6,Online-G,0.19983763131661744
rank 7,comet_bestmbr,0.19769330675221827
rank 8,Lan-Bridge,0.19724788421466274
rank 9,Online-B,0.1971773869607853
rank 10,LanguageX,0.1969111360538803
rank 11,JDExploreAcademy,0.1951898792644304
rank 12,Online-Y,0.19292147279098973
rank 13,AISP-SJTU,0.19182074510222022
rank 14,HuaweiTSC,0.1902732555904952
rank 15,Online-A,0.18298311059666644
rank 16,DLUT,0.17900207278556526
rank 17,NiuTrans,0.17651660864883123
rank 18,Online-W,0.17396761720272508
rank 19,M2M100_1.2B-B4,0.15789926775602398
rank 20,QUARTZ_TuneReranking,0.15403073272771345
