,System,Score
rank 1,refB,0.9036901138365369
rank 2,refA,0.5956132970567364
rank 3,chrf_bestmbr,0.45830395225780257
rank 4,bleurt_bestmbr,0.4532028264335441
rank 5,Online-G,0.45131775387526496
rank 6,bleu_bestmbr,0.4498457310269677
rank 7,Online-B,0.44638623996443616
rank 8,JDExploreAcademy,0.4462725054140287
rank 9,LanguageX,0.44608869092252595
rank 10,Lan-Bridge,0.4441610409839969
rank 11,AISP-SJTU,0.4387945218469668
rank 12,Online-Y,0.43762280460259156
rank 13,comet_bestmbr,0.4372477170826645
rank 14,HuaweiTSC,0.436909337033894
rank 15,Online-A,0.42623554856435447
rank 16,DLUT,0.41959186200965687
rank 17,NiuTrans,0.4181829635812083
rank 18,Online-W,0.41527683494226936
rank 19,QUARTZ_TuneReranking,0.4029882451081778
rank 20,M2M100_1.2B-B4,0.38817729213722635
