,System,Score
rank 1,refB,0.749135690983455
rank 2,refA,0.650612551679796
rank 3,bleurt_bestmbr,0.6217041543384891
rank 4,chrf_bestmbr,0.6212355031366736
rank 5,Online-G,0.6151439528921099
rank 6,comet_bestmbr,0.6146375291099588
rank 7,Online-B,0.6056720876696802
rank 8,bleu_bestmbr,0.6051122702653453
rank 9,JDExploreAcademy,0.602406725926006
rank 10,LanguageX,0.6022112275676182
rank 11,Lan-Bridge,0.6018574527198839
rank 12,Online-Y,0.6009752656674787
rank 13,QUARTZ_TuneReranking,0.6006533266604785
rank 14,HuaweiTSC,0.5974778698663405
rank 15,AISP-SJTU,0.5971134759915988
rank 16,Online-A,0.5870138580174131
rank 17,DLUT,0.58471728393988
rank 18,NiuTrans,0.5768299950337099
rank 19,Online-W,0.5749542830605244
rank 20,M2M100_1.2B-B4,0.5562083558689351
