,System,Score
rank 1,refB,1.5811987029956411
rank 2,refA,1.1043551024338332
rank 3,comet_bestmbr,1.0881771724149205
rank 4,bleurt_bestmbr,1.0779035364297629
rank 5,chrf_bestmbr,1.0619600464144134
rank 6,Online-G,1.0524214663029734
rank 7,Online-B,1.0221412565757881
rank 8,bleu_bestmbr,1.0219935213072604
rank 9,Lan-Bridge,1.0158122344268063
rank 10,Online-Y,1.0150907658835397
rank 11,QUARTZ_TuneReranking,1.0141367466850504
rank 12,JDExploreAcademy,1.0109394626023724
rank 13,LanguageX,1.0071328410347582
rank 14,HuaweiTSC,0.9988888083333546
rank 15,AISP-SJTU,0.9971379881679815
rank 16,DLUT,0.9711919066691193
rank 17,Online-A,0.9655743035694712
rank 18,NiuTrans,0.9399562912275107
rank 19,Online-W,0.9306876670667471
rank 20,M2M100_1.2B-B4,0.8928201784546295
